id,Title,Content,WPML Language Code,Destinations,Categories,Image Featured,Video,Web,Phone,POI lat,POI long,POI Coordinates
18887,Playa El Bretón,"Off the highway between Río San Juan to Playa Grande, this small cove is perfect for swimming, snorkeling, and just relaxing. Youll find fewer crowds here than at Playa Caletón, particularly during the week. There are no restaurants or facilities here, and thats the beauty of it.",en,Puerto Plata,Beaches|Family-Friendly,https://www.godominicanrepublic.com/wp-content/uploads/2017/11/El-Breton-Phot-Credit-Panoramio_com_Juan-Sangiovanni.jpg,,,,,,"a:6:{s:7:""address"";s:16:""Playa El Bretón"";s:3:""lat"";s:9:""19.662811"";s:3:""lng"";s:18:""-69.93851660000001"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
18888,Playa Grande,"Approximately 120 kilometers (75 miles) northeast of Puerto Plata city, between Río San Juan and Cabrera, this wide, two-kilometer-long (one mile) golden beach is known for its swellsâ€“good for surfersâ€“and undertows in the winter, requiring extra care by not swimming too far off shore. On site, rows of local seafood shacks serve excellent lunch plates while the music echoes. Playa Grandes perfect palm trees and golden beach landscape make it a photographers favorite.",en,Puerto Plata,Beaches|Family-Friendly|Water Sports>Surfing + Kitesurfing,https://www.godominicanrepublic.com/wp-content/uploads/2017/12/playa-grande-puerto-plata-1800x1080.jpg,,,,,,"a:6:{s:7:""address"";s:55:""Playa Grande, Puerto Plata Province, Dominican Republic"";s:3:""lat"";s:10:""19.9063889"";s:3:""lng"";s:11:""-70.9472222"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
18889,Playa Encuentro,"The break for surfers is at Playa Encuentro, located between Sosúa and Cabarete, and a half-hour drive from Playa Dorada and Costa Dorada hotels. Described as a â€œperfect right-hand reef break,â€ youll find the areas top surf schools right on the beach, ready to take you out into the waves. In true surfing tradition, the best time to catch waves is in the early morning.",en,Puerto Plata,Beaches|Family-Friendly|Water Sports>Surfing + Kitesurfing,https://www.godominicanrepublic.com/wp-content/uploads/2017/11/Playa-Encuentro-1.jpg,,,,,,"a:6:{s:7:""address"";s:15:""Playa Encuentro"";s:3:""lat"";s:10:""19.7834465"";s:3:""lng"";s:18:""-70.45165209999999"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
18890,Playa Cofresí,"West of Puerto Plata, Playa Cofresí is a relaxing stretch of light blond sand with calm waters for swimming, and plenty of shade. A few resorts and restaurants dot this beach, located adjacent to Ocean World Adventure Park.",en,Puerto Plata,Beaches|Family-Friendly,https://www.godominicanrepublic.com/wp-content/uploads/2017/12/cofresi-photo-credit-expedia.jpg,,,,,,"a:6:{s:7:""address"";s:47:""Unnamed Road, Cofresi 57000, Dominican Republic"";s:3:""lat"";s:17:""19.82661883126786"";s:3:""lng"";s:18:""-70.73029696941376"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
18891,Playa Sosúa,"Hugging a crescent-shaped bay, twenty minutes east of Puerto Plata, Playa Sosúa is a beautiful stretch of golden sand contrasting against deep azure-turquoise waters with a white, sandy bottom. This north coast is practically where beach tourism began in the Dominican Republic, and continues to rise to this day. Playa Sosúa is known for its lively stretch lined with numerous local and international bars, restaurants, and shops. Its also a diver and snorkeler favorite, with easy access to a wide array of sites near shore. Hundreds of locals and visitors descend here on weekends and holidays, and enjoy Sosúas stunning waters and sunsets.",en,Puerto Plata,Beaches|Family-Friendly|Water Sports>Surfing + Kitesurfing,https://www.godominicanrepublic.com/wp-content/uploads/2017/12/playa-sosua-puerto-plata2.jpg,,,,,,"a:6:{s:7:""address"";s:35:""5, Sosúa 57000, Dominican Republic"";s:3:""lat"";s:17:""19.75716317922872"";s:3:""lng"";s:18:""-70.51712036132812"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
18900,Playa Dorada & Costa Dorada,"Just ten minutes east of downtown Puerto Plata, these reef-protected beaches face the two main resort areas that draw the majority of the areas visitors. Sections of these stunning, wide golden stretches are Blue Flag certified for their water quality and services. Youll find extensive options for water sports from kitesurfing to banana boat tubing, as well as restaurants and bars.",en,Puerto Plata,Beaches|Family-Friendly|Water Sports>Surfing + Kitesurfing,https://www.godominicanrepublic.com/wp-content/uploads/2017/11/playa-dorada-puerto-plata2.jpg,,,,,,"a:6:{s:7:""address"";s:69:""Playa Dorada, Puerto Plata, Puerto Plata Province, Dominican Republic"";s:3:""lat"";s:10:""19.7737615"";s:3:""lng"";s:18:""-70.64194120000002"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19095,Cayo Arena (Diving),"p class=""p1"">span class=""s1"">The fishing village of Punta Rucia offers a dreamy white sand beach, and surrounding mangroves, northwest of Puerto Plata. From its shores and from the neighboring bay of La Isabela, boats depart to the offshore /span>a href=""/?p=18884"">span class=""s2"">b>Cayo Arena/b>/span>/a>span class=""s1"">â€“also known as Cayo Paraísoâ€“ offering exceptional diving for beginner levels, starting at five meters (16 feet). Schools of tropical fish can also easily be seen in shallow turquoise waters, making this spot a paradise for snorkeling fans. This area boasts some of the most abundant marine life in the DR, with corals and sponges that surround the cay, where octopuses, crabs, schools of surgeonfish, sergeant majors, damselfish, angelfish, and yellowtail snappers all swim around your feet. /span>/p>",en,Puerto Plata,Water Sports>Scuba Diving + Snorkeling,https://www.godominicanrepublic.com/wp-content/uploads/2017/12/POU2977.jpg,,,,,,"a:6:{s:7:""address"";s:30:""CAYO ARENA, Dominican Republic"";s:3:""lat"";s:10:""19.8698076"";s:3:""lng"";s:11:""-71.3075164"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19096,Kiteboarding in Puerto Plata,"This is a world-class kiteboarding, windsurfing and laser sailing destination due to its warm waters and perfect wind conditions. Cabarete is very popular among the young and adventurous because of the aquatic sports offered on its beach, its famous annual jazz festival each fall and its eclectic bars, cafes, restaurants and shops.",en,Puerto Plata,Water Sports>Surfing + Kitesurfing,,,,,,,"a:6:{s:7:""address"";s:28:""Kiteboarding in Puerto Plata"";s:3:""lat"";d:19.7734019;s:3:""lng"";d:-70.65139169999999;s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19150,El Cibao International Airport (STI),"El Cibao International Airport (STI) is 15 minutes from the bustling city of Santiago in the central region and provides easy access to the nearby cities of La Vega, Jarabacoa, Constanza, San Francisco de Macorís and Moca.

a href=""http://www.aeropuertocibao.com.do"" target=""_blank"" rel=""noopener"">www.aeropuertocibao.com.do/a>",en,Santiago,Airports &amp; Seaports>Airports,,,,,19.4021334,-70.6019073,"a:6:{s:7:""address"";s:30:""El Cibao International Airport"";s:3:""lat"";s:10:""19.4021334"";s:3:""lng"";s:11:""-70.6019073"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19154,Gregorio Luperón International Airport (POP),"Gregorio Luperón International Airport (POP), also known as the Puerto Plata International Airport, is only 20 minutes from the north coast city of Puerto Plata and neighboring tourist destinations like Cofresí, Playa Dorada, Sosúa and Cabarete. It is less than an hour from Playa Grande.

a href=""http://www.aerodom.com/app/do/aeropuertos_puertoplata.aspx"" target=""_blank"" rel=""noopener"">www.aerodom.com/app/do/aeropuertos_puertoplata.aspx/a>",en,Puerto Plata,Airports &amp; Seaports>Airports,,,,,19.7553589,-70.563822,"a:6:{s:7:""address"";s:45:""Gregorio Luperón International Airport (POP)"";s:3:""lat"";s:10:""19.7553589"";s:3:""lng"";s:18:""-70.56382200000002"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19196,Cigar capital of the world,"Santiago is the cigar capital of the world, with the largest production of smokes at the many factories. In February every year, the ProCigar Festival is held with organized visits to cigar factories and tobacco field tours to companies operations such as General Cigar, Davidoff, Matasa, La Aurora, Corporación Cigar Export, Tabacalera La Alianza, La Flor Dominicana and the Fuente Foundation. Cigars can be sampled and purchased. Premium cigar smoking is guaranteed",en,Santiago,Iconic Sights|Shopping,https://www.godominicanrepublic.com/wp-content/uploads/2017/12/POU6096-tabacos.jpg,,,,19.5429364,-70.7964107,"a:6:{s:7:""address"";s:29:""Davidoff,, Dominican Republic"";s:3:""lat"";s:10:""19.5429364"";s:3:""lng"";s:18:""-70.79641070000002"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19246,Puerto Plata Shopping,"The birthplace of many talented Dominican creatives, from merengue musicians to painters, Puerto Platas shopping opportunities are as plentiful as its wealthy offerings in nature and culture. Youll find jewelry stores carrying original amber stones mined within the province, organic coffee and cacao sourced from its plantations, musical instruments made in Puerto Platas merengue-centric villages, and numerous handmade arts and crafts. Shopping streets are located adjacent to Parque Independencia, as well as the nearby covered arts and crafts market downtown. For a relaxing indoor experience, visit the stores inside Playa Dorada shopping complex, stocking everything from beachwear to bottles of mamajuana.",en,Puerto Plata,Family-Friendly|Shopping,https://www.godominicanrepublic.com/wp-content/uploads/2017/12/amber-x3-1600x1080.jpg,,,,,,"a:6:{s:7:""address"";s:21:""Puerto Plata Shopping"";s:3:""lat"";s:10:""19.7690258"";s:3:""lng"";s:18:""-70.64309839999999"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19265,Shopping in Santiago,"A plethora of stores line Santiagos primary shopping street, em>Calle del Sol/em>. Expect everything from apparel to shoes, electronics, and souvenirs. Youll also find the citys historic em>Mercado Modelo/em> here, a beautiful, modern indoor market filled with small shops selling locally made Dominican items, from paintings to jewelry, art, and merengue instruments. As the second largest city, Santiago offers an array of shopping mallsâ€“youll find plenty of designer boutiques, as well as gift shops.",en,Santiago,Shopping,,,,,19.45081,-70.7028691,"a:6:{s:7:""address"";s:61:""Calle Del Sol, Santiago De Los Caballeros, Dominican Republic"";s:3:""lat"";s:8:""19.45081"";s:3:""lng"";s:18:""-70.70286909999999"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19294,Playa Grande Golf Course,"Opened in 1997, the Playa Grande Golf Course is not only the last course Robert Trent Jones, Sr. designed, but also one considered among his best. Here, all 18 holes overlook the Atlantic Ocean, with 10 that are played directly oceanside. The course spreads out along a hilly area atop cliffs, earning it the nickname â€œPebble Beach of the Caribbean.â€ Underground springs supply the greens with plenty of fresh water, with the majority of the course surrounded by palm trees, typical for the area. Honoring his fathers legacy, world-renowned golf architect Rees Jones recently redesigned Playa Grande, enhancing the experience to challenge golfers of every skill level. On the new layout, the last five holes are played on the edge of the ocean, a unique experience in the world of golf.
ul>
 	Holes: 18/
 	Par: 72; Yardage: 7,259/
 	Slope: 130; Rating: 75.6/
/ul>
[/vc_column_text][/vc_column][/vc_row][vc_row][vc_column][om_cc_vc_carouselelement height=""auto"" image_size=""full"" show_arrows=""true"" fullscreen=""true"" enable_rewind=""true"" images=""16869,16861""][/vc_column][/vc_row]",en,Puerto Plata,Golf,https://www.godominicanrepublic.com/wp-content/uploads/2017/11/Playa-Grande-Golf-Course-2-X3.jpg,,www.playagrande.com/golf ,-2250,,,"a:6:{s:7:""address"";s:24:""Playa Grande Golf Course"";s:3:""lat"";s:9:""19.675835"";s:3:""lng"";s:18:""-70.03170599999999"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19295,Los Mangos Golf Course,"The Costambar residential community golf course, it has nine very different holes, the longest being a 355-yard par 4. It features leafy fruit trees like mangoes, Spanish limes and coconut groves. In the summer, players even enjoy eating mangoes as they play. An executive course, it is easy to play two straight rounds using the different tees.

This course is located in the Costambar residential development, ten minutes from the city of Puerto Plata.

strong>Location:/strong> Costambar, Puerto Plata

strong>Holes:/strong> 9; strong>Par:/strong> 32; strong>Yardage:/strong> 2,225

strong>Designed:/strong> JosÃ© Torres

strong>Opened:/strong> 1975, remodeled 2001

Tel 809 970-7750",en,Puerto Plata,Golf,,,,,19.8142967,-70.7190535,"a:6:{s:7:""address"";s:22:""Los Mangos Golf Course"";s:3:""lat"";s:10:""19.8142967"";s:3:""lng"";s:18:""-70.71905349999997"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19296,Playa Dorada Golf Course,"A masterpiece of legendary golf course architect Robert Trent Jones, Sr., Playa Dorada Golf Course offers five holes with sea-views, including one directly adjacent to the Atlantic Ocean. Opened in 1976 inside the popular Playa Dorada Resort Complex in Puerto Plata, the relatively flat course is known for its outstanding conditioning. Fairways are wide with little rough, and greens are generous, featuring water hazards and strategically placed bunkers to spice things up. Its an ideal vacation resort course that can be enjoyed by all golfers, yet one that still offers challenges. With a location just 15 minutes drive from Puerto Plata airport, golfers can play on the day they arrive or before they leave.
ul>
 	Holes: 18/
 	Par: 72; Yardage: 6,765/
 	Slope: 134; Rating: 73.6/
/ul>
[/vc_column_text][/vc_column][/vc_row][vc_row][vc_column][om_cc_vc_carouselelement height=""auto"" image_size=""full"" show_arrows=""true"" fullscreen=""true"" enable_rewind=""true"" images=""16853,16845,16837""][/vc_column][/vc_row]",en,Puerto Plata,Golf,https://www.godominicanrepublic.com/wp-content/uploads/2017/11/Golf-Playa-Dorada-5-X3.jpg,,www.playadoradagolf.com,-5390,,,"a:6:{s:7:""address"";s:22:""Playa Dorada Golf Club"";s:3:""lat"";s:10:""19.7675207"";s:3:""lng"";s:18:""-70.64267050000001"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19297,Las Aromas Golf Club,"City golf course with panoramic views of Santiago, the Cibao Valley and the Yaque del Norte River. It was designed by Pete Dye during the same period when he completed his masterpiece the ""Teeth of the Dog"" in La Romana. With ascents and large inclines to challenge golfers, it has four par-3 holes, two par 5 holes, and 12 par 4 holes. Although it is a fairly short course, its narrow fairways, small greens and many traps along with the 135 slope rating make it one of the hardest in the country.

strong>Location:/strong> Bella Vista, Santiago

strong>Holes:/strong> 18; strong>Par:/strong> 70: strong>Yardage:/strong> 6,001

strong>Opened:/strong> 1978

strong>Designer:/strong> Pete Dye

strong>Contact:/strong> a href=""mailto:lasaromasgolf@gmail.com"">lasaromasgolf@gmail.com/a>

Tel 809 626-1288",en,Santiago,Golf,,,,,19.44698715,-70.71927309,"a:6:{s:7:""address"";s:69:""Golf Las Aromas, Santiago De Los Caballeros 51000, Dominican Republic"";s:3:""lat"";s:17:""19.44698714511906"";s:3:""lng"";s:18:""-70.71927309036255"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19350,Meetings in Puerto Plata,"Puerto Plata is a world-class sports event destination, well known for kiteboarding, windsurfing and surfing competitions on Cabarete Beach. Its historic center is replete with beautiful Victorian-style houses dating back to the end of the 19sup>th/sup> century, including the newly opened and restored Gregorio Luperón House-Museum. Its San Felipe fortress (from 1577) harks back to the days of the pirates in the Caribbean.

Puerto Plata isÂ nestled between the waters of the Atlantic Ocean and the majestic mountains of the northern mountain range. It is the land of Brugal Rum, and the 2,700-foot (823-meter) cable car ride to the top of Mount Isabel de Torres with its famous Botanical Gardens, statue of Christ and inspirational views of Puerto Plata and its coastline.

Combining culture with nature and fun in the sun is easy in Puerto Plata, where spouses and family members will have plenty to do.

Incentives full of authentic experiences can be organized. The North Coast is perfect for eco-enthusiasts who love to be pampered between adventures.Â  Imagine a beach rally along the more than 62 miles (100 km) of beaches.

To mesmerize your team, there is nothing better than having them conquer the challenges of the 27 Waterfalls of Damajagua. There is caving and ziplining. But there are also two great golf courses â€“ Playa Dorada and Playa Grande to be played.

&nbsp;

""Meetings in Puerto Plata"" href=""https://www.godominicanrepublic.com/meetings-incentives-conventions-events/meetings-in-puerto-plata/"">strong>More details (Venues, Hotels with Meetings Spaces &amp; Air Access)/strong>/a>",en,Puerto Plata,Meetings &amp; Conventions,,,,,,,
19432,Fun City,"When its time for a beach break, head over to Fun City, where youll face some fierce competition on one of three go-kart tracks with varying speeds and challenges. Whether adult or child, theres also a ton of fun guaranteed spinning or bumping on the bumper car course, another popular pick. Other attractions include a childrens playground, and a pitcher challenger field with radar display. Fun City is located close to Playa Dorada and Costa Dorada hotels.",en,Puerto Plata,Family-Friendly|Recreational Parks,https://www.godominicanrepublic.com/wp-content/uploads/2017/12/Fun-City-go-karts.jpg,,http://www.funcity-gokarts.com/,-2159,,,"a:6:{s:7:""address"";s:28:""Fun City, Dominican Republic"";s:3:""lat"";s:10:""19.7451861"";s:3:""lng"";s:18:""-70.63493369999998"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19441,Mount Isabel de Torres,"Hike your way up or hop on the only cable car in the Caribbean to reach Mount Isabel de Torres, flanked by a giant statue of Christ the Redeemerâ€“one of the provinces iconic landmarks. Youll be standing 793 meters (2,600 feet) above Puerto Platas verdant hills, surrounded with phenomenal views of Puerto Platas Atlantic Ocean and beaches in the distance. Once at the peak, hike the beautiful botanical gardens filled with local flora, caves, and plenty of areas for respite from the sun.",en,Puerto Plata,Ecotourism|Excursions|Family-Friendly|Hiking|Iconic Sights|National Parks + Protected Areas,https://www.godominicanrepublic.com/wp-content/uploads/2017/12/bg_puerto_plata.jpg,,,,,,"a:6:{s:7:""address"";s:39:""Unnamed Road, 57000, Dominican Republic"";s:3:""lat"";s:18:""19.764108687489774"";s:3:""lng"";s:17:""-70.7106363773346"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19479,Monkey Jungle,"Located between Sosúa and Cabarete, the Monkey Jungle Park gets good reviews from visiting tourists. Off El Choco National Park road, it is the home to squirrel capuchin monkeys and a seven-station zip line.

a href=""http://www.monkeyjungledr.com"">www.monkeyjungledr.com/a>",en,Puerto Plata,Ecotourism|Excursions|Family-Friendly,,,,,19.712652,-70.4719788,"a:6:{s:7:""address"";s:33:""Monkey Jungle, Dominican Republic"";s:3:""lat"";s:9:""19.712652"";s:3:""lng"";s:18:""-70.47197879999999"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
19480,Ocean World Adventure Park,"Visitors who dream of swimming with dolphins can fulfill their wish at Ocean World Adventure Park, located in Cofresí, just over five kilometers (three miles) west of Puerto Plata city. Aside from dolphins, children and adults can enjoy a multitude of marine experiences, from shows with sea lions and nurse sharks to an exotic bird area, and snorkeling in an artificial coral reef aquarium filled with hundreds of tropical fish. For more adventure, try the giant slide that throws you into the artificial swimming lagoon.",en,Puerto Plata,Excursions|Family-Friendly|Recreational Parks,https://www.godominicanrepublic.com/wp-content/uploads/2017/12/aerial.jpg,,www.oceanworld.net,-2099,,,"a:6:{s:7:""address"";s:26:""Ocean World Adventure Park"";s:3:""lat"";s:9:""19.826211"";s:3:""lng"";s:18:""-70.73025899999999"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
